Date,PM2.5 Mean
2020-08-08,41.184677419354834
2020-08-09,40.81612903225806
2020-08-10,40.44758064516129
2020-08-11,40.079032258064515
2020-08-12,39.71048387096774
2020-08-13,39.34193548387097
2020-08-14,38.97338709677419
2020-08-15,38.604838709677416
2020-08-16,38.23629032258064
2020-08-17,37.86774193548387
2020-08-18,37.4991935483871
2020-08-19,37.130645161290325
2020-08-20,36.762096774193544
2020-08-21,36.39354838709677
2020-08-22,36.025
2020-08-23,35.656451612903226
2020-08-24,35.28790322580645
2020-08-25,34.91935483870968
2020-08-26,34.5508064516129
2020-08-27,34.18225806451613
2020-08-28,33.813709677419354
2020-08-29,33.44516129032258
2020-08-30,33.07661290322581
2020-08-31,32.70806451612903
2020-09-01,32.339516129032255
2020-09-02,31.970967741935482
2020-09-03,31.60241935483871
2020-09-04,31.233870967741936
2020-09-05,30.86532258064516
2020-09-06,30.496774193548386
2020-09-07,30.128225806451614
2020-09-08,29.759677419354837
2020-09-09,29.391129032258064
2020-09-10,29.02258064516129
2020-09-11,28.654032258064515
2020-09-12,28.28548387096774
2020-09-13,27.916935483870965
2020-09-14,27.548387096774192
2020-09-15,27.17983870967742
2020-09-16,26.811290322580643
2020-09-17,26.44274193548387
2020-09-18,26.074193548387097
2020-09-19,25.70564516129032
2020-09-20,25.337096774193547
2020-09-21,24.968548387096774
2020-09-22,24.6
2020-09-23,35.9
2020-09-24,24.5
2020-09-25,36.0
2020-09-26,50.4
2020-09-27,61.8
2020-09-28,71.0
2020-09-29,13.1
2020-09-30,17.0
2020-10-01,40.8
2020-10-02,5.65
2020-10-03,18.8
2020-10-04,5.11
2020-10-05,5.43
2020-10-06,26.6
2020-10-07,56.9
2020-10-08,78.0
2020-10-09,102.0
2020-10-10,124.0
2020-10-11,40.9
2020-10-12,7.78
2020-10-13,13.2
2020-10-14,10.7
2020-10-15,83.5
2020-10-16,17.3
2020-10-17,16.8
2020-10-18,32.5
2020-10-19,59.5
2020-10-20,128.0
2020-10-21,37.2
2020-10-22,10.1
2020-10-23,8.96
2020-10-24,31.7
2020-10-25,83.5
2020-10-26,80.8
2020-10-27,9.26
2020-10-28,19.1
2020-10-29,39.6
2020-10-30,58.1
2020-10-31,79.5
2020-11-01,12.4
2020-11-02,7.92
2020-11-03,11.9
2020-11-04,64.1
2020-11-05,102.0
2020-11-06,76.5
2020-11-07,27.1
2020-11-08,21.1
2020-11-09,24.0
2020-11-10,42.3
2020-11-11,112.0
2020-11-12,80.9
2020-11-13,22.5
2020-11-14,47.7
2020-11-15,83.0
2020-11-16,100.0
2020-11-17,111.0
2020-11-18,45.8
2020-11-19,9.33
2020-11-20,11.1
2020-11-21,12.138582677165354
2020-11-22,13.177165354330707
2020-11-23,14.215748031496062
2020-11-24,15.254330708661417
2020-11-25,16.292913385826772
2020-11-26,17.331496062992127
2020-11-27,18.37007874015748
2020-11-28,19.408661417322833
2020-11-29,20.447244094488187
2020-11-30,21.485826771653542
2020-12-01,22.524409448818897
2020-12-02,23.562992125984252
2020-12-03,24.601574803149607
2020-12-04,25.64015748031496
2020-12-05,26.678740157480316
2020-12-06,27.71732283464567
2020-12-07,28.755905511811022
2020-12-08,29.794488188976377
2020-12-09,30.833070866141732
2020-12-10,31.871653543307087
2020-12-11,32.91023622047244
2020-12-12,33.94881889763779
2020-12-13,34.98740157480315
2020-12-14,36.0259842519685
2020-12-15,37.06456692913386
2020-12-16,38.10314960629921
2020-12-17,39.14173228346457
2020-12-18,40.18031496062992
2020-12-19,41.21889763779527
2020-12-20,42.25748031496063
2020-12-21,43.29606299212598
2020-12-22,44.33464566929134
2020-12-23,45.37322834645669
2020-12-24,46.41181102362205
2020-12-25,47.4503937007874
2020-12-26,48.48897637795275
2020-12-27,49.52755905511811
2020-12-28,50.56614173228346
2020-12-29,51.60472440944882
2020-12-30,52.64330708661417
2020-12-31,53.68188976377953
2021-01-01,54.72047244094488
2021-01-02,55.75905511811024
2021-01-03,56.79763779527559
2021-01-04,57.83622047244094
2021-01-05,58.8748031496063
2021-01-06,59.91338582677165
2021-01-07,60.95196850393701
2021-01-08,61.99055118110236
2021-01-09,63.02913385826772
2021-01-10,64.06771653543308
2021-01-11,65.10629921259843
2021-01-12,66.14488188976378
2021-01-13,67.18346456692913
2021-01-14,68.22204724409448
2021-01-15,69.26062992125985
2021-01-16,70.2992125984252
2021-01-17,71.33779527559055
2021-01-18,72.3763779527559
2021-01-19,73.41496062992127
2021-01-20,74.45354330708662
2021-01-21,75.49212598425197
2021-01-22,76.53070866141732
2021-01-23,77.56929133858267
2021-01-24,78.60787401574804
2021-01-25,79.64645669291339
2021-01-26,80.68503937007874
2021-01-27,81.72362204724409
2021-01-28,82.76220472440944
2021-01-29,83.80078740157481
2021-01-30,84.83937007874016
2021-01-31,85.87795275590551
2021-02-01,86.91653543307086
2021-02-02,87.95511811023623
2021-02-03,88.99370078740158
2021-02-04,90.03228346456693
2021-02-05,91.07086614173228
2021-02-06,92.10944881889763
2021-02-07,93.148031496063
2021-02-08,94.18661417322835
2021-02-09,95.2251968503937
2021-02-10,96.26377952755905
2021-02-11,97.30236220472442
2021-02-12,98.34094488188977
2021-02-13,99.37952755905512
2021-02-14,100.41811023622047
2021-02-15,101.45669291338582
2021-02-16,102.49527559055119
2021-02-17,103.53385826771654
2021-02-18,104.57244094488189
2021-02-19,105.61102362204724
