Date,PM2.5 Mean
2020-08-06,9.140116279069767
2020-08-07,9.194186046511627
2020-08-08,9.248255813953488
2020-08-09,9.302325581395348
2020-08-10,9.356395348837209
2020-08-11,9.41046511627907
2020-08-12,9.46453488372093
2020-08-13,9.518604651162791
2020-08-14,9.57267441860465
2020-08-15,9.626744186046512
2020-08-16,9.680813953488371
2020-08-17,9.734883720930233
2020-08-18,9.788953488372092
2020-08-19,9.843023255813954
2020-08-20,9.897093023255813
2020-08-21,9.951162790697675
2020-08-22,10.005232558139534
2020-08-23,10.059302325581395
2020-08-24,10.113372093023255
2020-08-25,10.167441860465116
2020-08-26,10.221511627906976
2020-08-27,10.275581395348837
2020-08-28,10.329651162790697
2020-08-29,10.383720930232558
2020-08-30,10.437790697674417
2020-08-31,10.491860465116279
2020-09-01,10.545930232558138
2020-09-02,10.6
2020-09-03,23.5
2020-09-04,18.6
2020-09-05,21.9
2020-09-06,41.3
2020-09-07,21.1
2020-09-08,11.7
2020-09-09,27.2
2020-09-10,129.0
2020-09-11,151.0
2020-09-12,93.7
2020-09-13,107.0
2020-09-14,111.0
2020-09-15,21.9
2020-09-16,0.882
2020-09-17,3.63
2020-09-18,5.55
2020-09-19,9.0
2020-09-20,13.4
2020-09-21,10.2
2020-09-22,4.27
2020-09-23,2.25
2020-09-24,4.2
2020-09-25,9.96
2020-09-26,8.38
2020-09-27,19.5
2020-09-28,19.3
2020-09-29,3.25
2020-09-30,17.4
2020-10-01,47.0
2020-10-02,46.9
2020-10-03,15.1
2020-10-04,9.0
2020-10-05,8.18
2020-10-06,12.8
2020-10-07,27.2
2020-10-08,16.1
2020-10-09,1.38
2020-10-10,3.14
2020-10-11,5.8
2020-10-12,10.9
2020-10-13,10.7
2020-10-14,11.5
2020-10-15,15.3
2020-10-16,10.4
2020-10-17,12.4
2020-10-18,12.7
2020-10-19,8.42
2020-10-20,8.83
2020-10-21,12.9
2020-10-22,11.0
2020-10-23,7.43
2020-10-24,7.95
2020-10-25,6.89
2020-10-26,8.29
2020-10-27,10.2
2020-10-28,12.3
2020-10-29,17.3
2020-10-30,12.1
2020-10-31,10.5
2020-11-01,10.45029411764706
2020-11-02,10.400588235294117
2020-11-03,10.350882352941177
2020-11-04,10.301176470588235
2020-11-05,10.251470588235295
2020-11-06,10.201764705882352
2020-11-07,10.152058823529412
2020-11-08,10.10235294117647
2020-11-09,10.05264705882353
2020-11-10,10.00294117647059
2020-11-11,9.953235294117647
2020-11-12,9.903529411764707
2020-11-13,9.853823529411764
2020-11-14,9.804117647058824
2020-11-15,9.754411764705882
2020-11-16,9.704705882352942
